model;accuracy;precision;recall;f1_score;roc_auc_score;specificity
LogisticRegression;0.6717777777777778;0.3629376601195559;0.640381717729784;0.4632994186046512;0.6605389827056682;0.6806962476815522
RandomForestClassifier;0.673;0.3623753792804508;0.6299924642049737;0.4600990643918547;0.6576026947603084;0.685212925315643
RandomForestClassifierOptimized;0.8013333333333333;0.5682582380632145;0.4244098442993471;0.4859114433582518;0.6664066627688774;0.8708802967613068
GradientBoostingClassifier;0.7973333333333333;0.5498652291105122;0.4611906556141673;0.5016393442622951;0.6769895071351384;0.8927883586561096
KNeighborsClassifier;0.7035555555555556;0.38598854833277196;0.575590155700653;0.4620967741935484;0.6577479955275986;0.7399058353545441
